# tatoeba id	bản dịch tiếng Việt
333335	Hãy cố tận dụng tốt thời gian của bạn.
333362	Tokyo là một thành phố rất lớn.
333374	Cà chua dễ mắc nhiều loại bệnh.
333382	Sáng hôm qua bạn có chơi quần vợt không?
333383	Tôi mượn bút chì của bạn một lát được không?
333390	Tôi đã lắng nghe nhưng không nghe thấy gì.
333432	Học sinh không nên quên thân phận của mình.
333436	Ai muốn cuốn sách này thì cho người đó.
333468	Hành động dũng cảm mang lại vinh quang cho anh ấy.
333469	Cô ấy không những đẹp mà còn thông minh.
333497	Nghe nói anh ấy chơi mạt chược rất giỏi.
333503	Cô ấy khăng khăng cho rằng đó là lỗi của tôi.
333507	Bạn phải rút ra bài học từ thất bại.
333509	Ngủ quên không phải là lý do để đến muộn.
333510	Tôi cũng từng nghe một câu chuyện tương tự.
333532	Hồi trẻ ông ấy nghèo khổ túng quẫn.
333537	Tổng thống từ chối trả lời câu hỏi đó.
333542	Tôi mong sau này trở thành nha sĩ.
333565	Nghe tin xong anh ta mất hết lý trí.
333569	Được, nhưng chúng ta ăn tối trước đã.
333584	Ở thành phố này, tranh chấp giữa người da trắng và da đen ngày càng gay gắt.
333587	Chính phủ nước này áp bức nhân dân.
333588	Năm ngoái chúng tôi bị thâm hụt.
333590	Ngắm chim là một sở thích rất hay.
333593	Giáo viên của ai đến từ Anh?
333615	Cuốn từ điển anh ấy nói thư viện không có.
333632	Bạn có mấy chị gái, mấy anh trai?
333660	Đừng che giấu suy nghĩ của bạn về việc này.
333661	Cô ấy hiền hòa với tất cả mọi người.
333663	Tôi ăn no rồi, cảm ơn.
333672	Để tôi lấy cho bạn một ví dụ.
333675	Anh ấy học chăm nhất lớp.
333676	Ai cũng biết biết đủ thì vui.
333705	Cả lớp có mặt mỗi tuần một lần.
333709	Cô ấy nuôi đủ loại thú cưng.
333710	Đừng để chuyện này xảy ra nữa!
333713	Anh ta nói những lời như vậy với cô ấy thật quá tàn nhẫn.
333751	Chiếc váy mới khiến cô ấy rất hài lòng.
333752	Ai đã dạy cô ấy nói tiếng Anh?
333763	Với tôi máy quay là thứ thiết yếu.
333766	Sáng nay bạn đã cho chó ăn chưa?
333774	Da Vinci nhìn xa trông rộng hơn người khác.
333775	Chúng tôi tụ họp ở đây mỗi tuần một lần.
333781	Khi tôi đang tắm thì điện thoại reo.
333785	Cô ấy bắt đầu quan tâm đến sinh thái học là do ảnh hưởng của anh ấy.
333786	Không thể phủ nhận cô ấy rất có năng lực.
333799	Mở sách giáo khoa của bạn đến trang mười.
333820	Kiểu tóc của The Beatles đã gây chấn động.
333834	Ngày lễ và kỳ thi tình cờ rơi vào cùng một ngày.
333841	Bạn đặc biệt không nên uống rượu khi bụng đói.
333844	Trước hết, tôi muốn nghe ý kiến của cả hai bên.
333846	Trước khi bạn về, tôi đã đi rồi.
333856	Bố tôi luôn bình tĩnh.
333859	Anh ấy thích đi săn.
333917	Sự kiện đó đã gieo mầm chiến tranh.
333944	Chính ở điểm này ý kiến của chúng tôi bất đồng.
333947	Không đâu bằng nhà mình.
333966	Ireland và Anh bị biển ngăn cách.
333972	Anh ấy vừa cao vừa béo, lại luôn bận rộn.
333977	Bạn có thể cho tôi biết đây là gì không?
333998	Cậu bé phủ nhận việc trộm xe đạp.
334033	Cả nước bị tuyết phủ trắng.
334052	Anh ấy tốt bụng đưa tôi đến bệnh viện.
334064	Một số loài cây không thể thích nghi với giá lạnh.
334067	Bạn nghĩ anh ấy phù hợp với vị trí này không?
334069	Đừng khóc như trẻ con thế.
334074	Đi bộ đến ga tàu mất bao lâu?
334082	Cô ấy thích nấu ăn cho gia đình.
334097	Tôi muốn biết câu này nghĩa là gì.
334102	Nước đóng băng thì thành chất rắn.
334104	Chú tôi tặng tôi một món quà.
334122	Ngôi sao truyền hình bạn yêu thích nhất là ai?
334130	London, thủ đô nước Anh, nằm bên sông Thames.
334155	Tôi cho rằng thi cử phá hỏng giáo dục.
334159	Không có gì là không cần nỗ lực mà có được.
334160	Không có bạn tôi không làm được, cảm ơn.
334174	Nghe nói "Hamlet" là vở kịch hay nhất từng được viết.
334205	Tự nghi ngờ bản thân là dấu hiệu đầu tiên của trí thông minh.
334208	Nhiều ngôi nhà bị lũ cuốn trôi.
334209	Anh ấy không phải ca sĩ mà là diễn viên.
334211	Bạn thích bóng chày đến mức nào?
334228	Hồi trẻ bố tôi chắc hẳn rất tuấn tú.
334238	Cuối tuần này bố tôi sẽ về nhà.
334239	Bố tôi là chuyên gia ngoại khoa.
334240	Bố đi ra ngoài rồi, nhưng mẹ ở nhà.
334243	Bố tôi thường đi công tác Mỹ.
334254	Mary không nghèo, ngược lại, cô ấy khá giàu.
334255	Tuy anh ấy rất giàu nhưng không hạnh phúc.
334260	Anh ấy được điểm tối đa trong kỳ thi là thật.
334280	Anh ấy từng được trao huy chương vàng.
334283	Dung mạo của anh ấy thay đổi nhiều.
334298	Chẳng mấy chốc thành phố bị binh lính chiếm đóng.
334304	Máy tính mới của bạn chạy tốt chứ?
334320	Tin tức lan ra từng chút một.
334328	Khi nó vận hành rồi, họ mới có vẻ yên tâm.
334333	Người ta nói tình yêu là mù quáng.
334378	Mùa hè ở đây rất ẩm, ngược lại mùa đông rất khô.
334379	Cô ấy từ chối sự tài trợ của tôi.
334402	Chúng tôi vừa kịp có thời gian ăn sáng.
334419	Họ kinh ngạc đến mức ngây người.
334430	Bạn thật may vì nó không cắn bạn.
334432	Người đến từ Madrid đều rất kỳ lạ.
334450	Người Đức rất khôn khéo.
334451	Đặt bộ bài lên bàn gỗ sồi.
334454	Lúa mạch đen được gọi là hạt của người nghèo.
334477	"Đây chính là thứ tôi đang tìm!" anh ấy kêu lên.
334494	"Đá lăn không mọc rêu" là một câu tục ngữ.
334497	Tôi chưa từng thấy quả dưa hấu nào to như thế!
334530	Tối qua xe đạp của tôi bị trộm.
334540	Tin này khiến cô ấy rất đau lòng.
334546	Tôi chưa bao giờ thấy khỏe như vậy.
334554	Tôi nên làm việc dứt khoát.
334577	Anh ấy tốt nghiệp Đại học Cambridge với thành tích xuất sắc.
334579	Mục đích anh ấy đến đây là gì?
334581	Bạn đã đến Hawaii bao giờ chưa?
334595	Bạn sẽ đi thăm nước khác chứ?
334596	Cậu con trai tôi yêu không yêu tôi.
334598	Bà ấy qua đời bình yên trong giấc ngủ.
334607	Hàng xóm thấy hòm thư không trống.
334614	"Đồ uống miễn phí à?" "Chỉ cho quý bà thôi."
334615	Sếp giao cho tôi một nhiệm vụ nặng nề.
334619	Con chim này các bạn gọi là gì trong tiếng Anh?
334648	Tôi mong chúng ta giữ liên lạc.
334661	Bố tôi đã bỏ thuốc bỏ rượu.
334667	Tiếng Anh không dễ nhưng rất thú vị.
334680	Bạn không thể uống nước biển vì nó quá mặn.
334691	Hút thuốc đã ảnh hưởng đến phổi anh ấy.
334695	Anh ấy thấy những con chim, bông hoa và lá cây màu sắc rực rỡ.
334732	Lợi nhuận của công ty du lịch tăng vọt.
334734	Như các bạn biết, kiên trì là chìa khóa thành công.
334742	Hình dạng trái đất giống quả cam.
334763	Anh ta ăn ngấu nghiến một bữa.
334771	Tôi chán ngấy bài nói dài dòng của ông ta.
334772	Lãnh chúa có quyền lực tuyệt đối với thần dân.
334788	Tôi đặt mua mấy cuốn sách từ Anh.
334789	Buổi diễn bắt đầu lúc mấy giờ?
334791	Tài nguyên thiên nhiên của Mỹ rất phong phú.
334833	Tôi xem qua cuốn tạp chí đó được không?
334835	Họ trách tôi không giữ lời hứa.
334839	Hai thám tử bám theo kẻ tình nghi.
334865	Cô ấy nhạy cảm với xu hướng thời trang hiện tại.
334888	Hành vi của bạn hoàn toàn hợp pháp.
334903	Khi còn trẻ bạn nên mở mang tư duy.
334912	Thôi đi! Bạn làm cô ấy khó chịu rồi!
334913	Sự nhẫn nại có giới hạn.
334923	Làm sao bạn tìm được thức ăn trong vũ trụ?
334925	Tôi đang tự hỏi hôm nay bạn có đến không.
334929	Bạn thích phong cách âm nhạc nào?
334980	Trông anh ấy đúng là một quý ông.
334983	Học sinh trường này rất thân thiện.
334993	Cứ bốn năm Thế vận hội được tổ chức một lần.
334994	Nguồn gốc của Olympic là gì?
334997	Dầu được ép ra từ quả ô liu.
335007	Cho hai tách trà và một cốc cà phê.
335023	London có rất nhiều công viên đẹp.
335027	Mẹ tôi nói tiếng Anh không giỏi lắm.
335037	Bạn nghĩ trước đó tôi đang làm gì?
335046	Tôi làm tốt đến mức không thể tốt hơn.
335055	Cả đời tôi hiếm khi làm một việc tốt... vậy mà lại vô ích.
335080	Anh ấy là người rất trầm lặng, đỉnh đầu hơi hói.
335103	Ông có thể dạy tôi chơi cờ vua không?
335107	Cuối cùng anh ấy đã đạt được mục tiêu.
335125	Đừng quá nhạy cảm với lời phê bình.
335127	Những gì anh ta nói chẳng có ý nghĩa gì.
335130	Tàu mấy giờ đến Yokohama?
335140	Bạn là người Trung Quốc hay người Nhật?
335170	Pháo hoa này thật hoành tráng!
335171	Mùa hè năm ngoái chúng tôi xem pháo hoa trên cầu rất đã.
335256	Điều này rất có thể có nghĩa là chiến tranh.
335259	Chiến tranh không khiến ai hạnh phúc.
335267	Cô ấy học lớp tự vệ vào buổi tối.
335271	Trong bóng tối mèo nào cũng xám.
335272	Dù rất bận, cô ấy vẫn đến tiễn tôi.
335275	Làm việc gì bạn cũng phải dốc hết sức.
335277	Cặp vợ chồng này sinh được một cậu con trai.
335279	Tôi thấy ở đó có một thác nước rất đẹp.
335308	Tôi mượn kéo của bạn được không?
335318	Nghe tin đó, cô ấy sững sờ.
335324	Internet là nguồn thông tin không thể đo đếm.
335326	Tôi đang nghĩ hôm nay mình nên làm gì.
335328	Anh ấy giải thích chi tiết cho tôi.
335345	Tối nay chúng ta có nhiều thời gian.
335359	Dù thế nào cũng thật phiền, phải không?
335361	Vụ tai nạn xảy ra do một lỗi đơn giản.
335367	Rất ít học sinh biết tên anh ấy.
335382	Đám cưới của họ sẽ tổ chức vào ngày mai.
335384	Bố sẽ không bao giờ tán thành việc tôi kết hôn.
335422	Sao bạn dám nói với tôi như thế!
335485	Phạm nhân đã trốn thoát trong đêm.
335491	Tại sao tôi nhất định phải làm thế?
335495	Chiếc máy ảnh này sản xuất tại Đức.
335508	Anh ấy thoát khỏi nguy hiểm như thế đấy.
335512	Tôi mong ông sớm khỏe lại.
335519	Bạn tự giữ gìn nhé, chơi vui vẻ!
335528	Căn phòng này không có nhiều nắng.
335537	Tôi không thể chịu nổi tiếng ồn đó nữa.
335611	Cái thang này có đủ chắc để chịu được trọng lượng của tôi không?
335619	Những vấn đề này chẳng ảnh hưởng gì đến chúng tôi.
335626	Vì thời tiết xấu đi, việc xuất phát bị hoãn.
335713	Đừng trông chờ người khác suy nghĩ thay bạn!
335822	Luật pháp có nhiều chỗ chưa rõ ràng.
335838	Tôi sẽ chiến đấu đến hơi thở cuối cùng.
335855	Chiếc váy này bạn mặc rất vừa.
335857	Họ tấn công kẻ địch.
335859	Đợt tấn công đầu tiên trượt mục tiêu.
335861	Kẻ địch mở cuộc tấn công vào chúng tôi.
335870	Đôi khi kiên nhẫn là vũ khí hiệu quả nhất.
335874	Những dụng cụ này dùng để xây nhà.
335879	Chúng tôi bị bão tập kích.
335883	Công ty sắp phá sản rồi.
335891	Hôm qua tôi chơi quần vợt lần đầu tiên.
335938	Anh ấy có khả năng làm tốt hơn tôi.
336074	Con đê bảo vệ thành phố khỏi lũ lụt.
336076	Anh ấy phụ thuộc vợ về kinh tế.
336086	Phòng khách nhà mới của tôi rất rộng.
336092	Anh ấy học tiếng Anh, nhưng cũng học cả tiếng Đức.
336093	Con chó lo lắng nhìn chủ.
336106	Tôi đến làng trước khi trời tối.
336109	Tôi không nắm được trọng điểm bài phát biểu của anh ấy.
336113	Tôi tự hỏi trời có nắng lên không.
336188	Nghe nói khu vực này có chôn kho báu.
336191	Nói tiếng Pháp với anh ấy là chuyện rất tự nhiên.
336246	Lỡ có tình huống khẩn cấp, hãy liên hệ người đại diện của tôi.
336251	Không may, tôi không kịp nghe bài phát biểu của anh ấy.
336275	Anh ấy là chuyên gia quy hoạch đô thị.
336424	Thầy giáo chúng ta quả thật rất chú trọng lễ nghi, phải không?
336433	Phán quyết bất lợi cho chính phủ.
336435	Cô ấy rưng rưng nước mắt.
336451	Anh ấy khá hoạt bát.
336463	Ông làm cách nào sưởi ấm ngôi nhà?
336466	Trách nhiệm đó là gánh nặng với anh ấy.
336480	Chiếc bánh này ăn ngon khác thường.
336500	Cuối cùng tin đồn được chứng minh là sai.
336581	Điều này được xây dựng trên cơ sở phỏng đoán.
336591	Bạn biết thao tác máy tính không?
336602	Đây chính là mấu chốt của vấn đề.
336623	Sân vận động chật kín người hâm mộ bóng chày.
336626	Ngoài tiếng Anh, anh ấy còn nói được tiếng Pháp.
336634	Bạn không uống trà với tôi sao?
336650	Từ khi anh ấy đi Pháp đã hai tháng rồi.
336661	Cô ấy rất tự hào về tài năng của mình.
336678	Bạn phải đến đó ngay.
336680	Điều này có thể đúng, có thể không.
336684	Các con số này cộng lại không khớp.
336696	Có người chỉ theo đuổi khoái lạc.
336699	Trong từ điển của tôi không có từ này.
336718	Bạn nên đi ngủ rồi. Tắt đài đi.
336722	Ác quỷ đã hủy diệt Hiroshima và Nagasaki.
336728	Tôi thuyết phục anh ấy từ bỏ ý định này.
336852	Loại tạp chí này có hại cho giới trẻ.
336853	Bài diễn văn của tôi được viết dựa trên lý thuyết này.
336854	Bạn nghĩ mình sẽ đi nghỉ ở đâu?
336856	Chúng ta phải luôn sẵn sàng ứng phó thiên tai.
336862	Người đàn ông chết đuối bám chặt sợi dây.
336863	Nhựa đã thay thế nhiều nguyên liệu truyền thống.
336888	Em bé chưa biết dùng thìa.
336892	Tôi tin bạn sẽ sớm hồi phục.
336903	Cô ấy vào phòng thay váy.
336910	Cô ấy vừa khóc vừa đọc thư.
336926	Hãy công khai bày tỏ tình yêu của bạn với ai đó.
336937	Lời nói và hành động của bạn phải nhất quán.
336953	Mưa lớn làm nước sông tràn bờ.
336957	Trên những giá sách này không có nhiều sách.
336965	Anh ấy kiếm sống thế nào trong cảnh nghèo như vậy?
337229	Khoảng một phần ba bề mặt trái đất là đất liền.
337238	Cơn bão gây ra nhiều thiệt hại.
337250	Còn lại bao nhiêu chiếc bánh kẹp?
337287	Anh ấy dán một miếng băng cá nhân lên tay.
337294	Rồi ai cũng có ngày phải chết.
337305	Nhiều ngôi nhà bị lũ cuốn trôi.
337403	Động cơ này tiêu hao nhiều xăng nhất.
337890	Kính chắn gió phía trước xe bị đập vỡ vụn.
337898	Xin cho tôi biết bến xe buýt ở đâu.
337981	Cho tôi gửi lời hỏi thăm mẹ bạn.
338384	Tối nay mưa như trút nước.
338410	Sao tháng này chủ nhà vẫn chưa đến thu tiền nhà?
338634	Anh ấy không biết phải làm sao nên nhờ tôi giúp.
338646	Tôi ra sân bay tiễn anh ấy.
338795	Sáng nào tôi cũng đi mua đồ.
338828	Cho tôi gửi lời hỏi thăm em gái bạn.
338939	Trên trái đất có rất nhiều quốc gia và nền văn hóa.
338949	Tôi mất cả vốn lẫn lãi.
338956	Người trẻ luôn thích thử thách cực đoan.
338964	Bức ảnh này chụp gần đây à?
338971	Mọi người trên thế giới đều khao khát hòa bình.
338972	Anh ấy muốn giặt sạch những chiếc áo sơ mi này.
338985	Bạn cần cải thiện tiếng Anh của mình.
339175	Anh ấy dồn hết tâm trí vào việc học.
339232	Anh trai anh ấy là cầu thủ bóng đá nổi tiếng.
339233	Hãy nắm bắt tốt cơ hội này.
339286	Chúng ta phải cân nhắc kế hoạch này về mặt tài chính.
339289	Linh hồn ngươi đã rơi xuống địa ngục.
339292	Bọn cướp biển chôn kho báu dưới đất.
339300	Đôi ủng này làm bằng da.
339438	Chúng ta phải từ bỏ kế hoạch này.
339440	Tôi bị u dạ dày, phải phẫu thuật cắt bỏ.
339441	Vụ cháy tối qua được xác định là do cố ý phóng hỏa.
339459	Tôi không thể chịu đựng hành vi của cô ta.
339461	Chúng tôi đã thực hiện kế hoạch đó.
339469	Mẹ tôi trước đây rất mê quần vợt.
339481	Cuộc sống nông thôn lành mạnh hơn đô thị.
339501	Anh ta bỏ đi không nói cả lời tạm biệt.
339601	Họ muốn trồng giống lúa mới để tăng sản lượng lương thực.
339885	Bây giờ tôi bận, không rảnh chơi với bạn.
339903	Bài văn của anh ấy viết hoàn hảo không tì vết.
339932	Tổng chi phí của dự án là một trăm triệu yên.
339938	Tôi rất vui được gặp họ.
340090	Tôi làm một chiếc máy bay mô hình.
340095	Bây giờ không chỉ cần bình đẳng lương nam nữ mà còn phải chia đều việc nhà.
340120	Người câm điếc nói chuyện bằng ngôn ngữ ký hiệu.
340122	Sao bạn vội vàng thế?
340124	Tôi buộc phải từ bỏ kế hoạch của mình.
340134	Ước một điều rồi thổi tắt nến đi.
340145	Sức hút của cô ấy khó mà diễn tả bằng lời.
340146	Dưới phán quyết của ông, sự thật cuối cùng đã sáng tỏ.
340148	Đàn piano lạc tông, âm thanh rất khó nghe.
340166	Việc nhỏ thì khôn, việc lớn lại hồ đồ.
340178	Từ "bị cáo" là thuật ngữ pháp luật.
340489	Bạn là người Mỹ hay người Pháp?
340493	Chuyên ngành của cô ấy là văn học Pháp.
340496	Tò mò sẽ chịu khổ.
340637	Những gì cô ấy nói không đúng sự thật.
340642	Xin đặt hành lý của bạn lên chiếc cân này.
340643	Sữa này có mùi lạ.
341930	Bạn làm thế thật quá vô lý.
341934	Buổi lễ này trang trọng đến mức nào?
341935	Những quả cam này đã hỏng rồi.
342196	Đừng quên sáu giờ mai đến đón tôi.
342433	Chúng tôi cảm thấy mặt đất rung chuyển.
342434	Điều tôi quan tâm nhất là sự an toàn của bạn.
342684	Về cơ bản tôi tán thành ý kiến của bạn.
342689	Anh ta bị các con số khuất phục.
342697	Tôi thấy không cần thiết phải thuyết phục anh ta.
342709	Tôi có phải thay đổi chế độ ăn không?
342711	Hoa cẩm tú cầu nở vào tháng sáu.
342714	Không giữ lời hứa là đáng xấu hổ.
342840	Núi Phú Sĩ là ngọn núi cao nhất Nhật Bản.
342850	Tôi phải gia hạn hộ chiếu.
343101	Cô ấy gọi cho tôi vào buổi trưa.
343103	Kế hoạch này phải được giữ bí mật.
343161	Cô ấy sống một mình trong căn hộ.
343199	Mấy chiếc du thuyền chạy song song ngoài khơi xa.
343206	Tôi tin đây là cá nước ngọt.
343216	Anh ấy là con nhà giàu.
343242	Anh ấy nói với tôi là sẽ đi Mỹ.
343294	Sắt và ô-xy đều là nguyên tố hóa học.
343316	Đúng, anh ấy gần cao bằng tôi.
343329	Sân bay nào cũng có chỉ dẫn bằng tiếng Anh.
343355	Anh ấy ước gì tối qua đã đi xem kịch.
343356	Bạn cứ tùy ý dùng xe của tôi.
343376	Trong lễ hội trường lần này, anh ấy sẽ lần đầu đóng vai chính.
343382	Tôi chợt nhớ đến người mẹ đã mất.
343409	Bầu không khí nơi này rất thần bí.
343416	Sáng nay anh ấy nhận được rất nhiều thư.
343425	Cô ấy mặc một chiếc váy rất xấu.
343427	Hỏi xem anh ấy có đến dự họp không.
343450	Thị trường gạo Nhật Bản cấm nhập khẩu.
343677	Mũi tôi không thở được.
343706	Anh ấy rất nghiêm khắc với con cái.
343709	Tôi muốn mở một tài khoản tiết kiệm.
343734	Anh ấy liếc nhanh qua tờ tạp chí.
343799	Tôi không nắm được ý nghĩa chính xác của câu.
343800	Đây là vấn đề rất khó giải quyết.
343858	Tiện thể hỏi, tối nay bạn rảnh không?
343925	Mắt cô ấy lấp lánh niềm vui.
343934	Nhật Bản nghèo tài nguyên thiên nhiên.
343936	Nhất là phải kiên nhẫn.
343944	Tôi thấy cuốn sách này rất thú vị.
343956	Trong chuyến đi, anh ấy viết nhật ký du lịch.
343965	Cảm ơn bạn đã mời tôi dự tiệc.
