# hanzi	nghĩa tiếng Việt	pinyin (ghi đè)	nghĩa Anh (ghi đè)
悠久	lâu đời
比喻	ví von, ẩn dụ
比重	tỷ trọng
拨打	gọi (điện thoại)
博大精深	uyên bác sâu rộng
搏斗	vật lộn, đánh nhau
播放	phát (âm thanh, video)
波浪	sóng
博览会	hội chợ triển lãm
伯母	bác gái
薄弱	yếu kém
波涛汹涌	sóng cuộn dữ dội
剥削	bóc lột
播种	gieo hạt
补偿	bồi thường, bù đắp
不得已	bất đắc dĩ
步伐	bước đi, nhịp bước
不妨	không ngại, chẳng sao
不敢当	không dám nhận
布告	thông cáo
不顾	bất chấp
不禁	không nhịn được
补救	cứu vãn, khắc phục
布局	bố cục
不堪	không chịu nổi; vô cùng
不可思议	không thể tưởng tượng
不愧	xứng đáng là
不料	không ngờ
哺乳	cho bú
不时	thỉnh thoảng
部署	bố trí, triển khai
补贴	trợ cấp
部位	bộ phận, vị trí
不惜	không tiếc
不像话	quá đáng, chẳng ra sao
不相上下	ngang ngửa
不屑一顾	khinh thường
不言而喻	không nói cũng hiểu
不由得	bất giác, không khỏi
不择手段	bất chấp thủ đoạn
布置	bố trí, trang trí
不止	không chỉ; không ngừng
捕捉	bắt, nắm bắt
裁缝	thợ may
财富	của cải
才干	tài năng
采购	mua sắm, thu mua
采集	thu thập
采纳	tiếp thu, chấp nhận
裁判	trọng tài; phán quyết
彩票	vé số
财务	tài vụ, tài chính
裁员	cắt giảm nhân sự
财政	tài chính
舱	khoang
苍白	tái nhợt
仓促	vội vàng
仓库	kho
残酷	tàn khốc
灿烂	rực rỡ
残留	sót lại
参谋	tham mưu
残忍	tàn nhẫn
参照	tham chiếu
草案	dự thảo
操劳	vất vả lo toan
操练	luyện tập, thao luyện
草率	qua loa, cẩu thả
嘈杂	ồn ào
操纵	thao túng
操作	thao tác
策划	hoạch định, lên kế hoạch
测量	đo đạc
策略	sách lược, chiến lược	cèlüè
侧面	mặt bên
层出不穷	liên tiếp xuất hiện
层次	tầng lớp, cấp bậc
岔	ngã rẽ
查获	phát hiện và thu giữ
柴油	dầu diesel
差距	khoảng cách, chênh lệch
馋	thèm ăn
搀	dìu; pha trộn
刹那	sát na, chớp mắt
颤抖	run rẩy
倡导	đề xướng
场合	trường hợp, dịp
偿还	hoàn trả
敞开	mở rộng
猖狂	ngông cuồng
场面	cảnh tượng
常年	quanh năm
昌盛	hưng thịnh
尝试	thử, thử nghiệm
场所	nơi chốn
畅通	thông suốt
常务	thường vụ
畅销	bán chạy
倡议	đề xuất, sáng kiến
缠绕	quấn quanh
阐述	trình bày, luận giải
产业	ngành, sản nghiệp
超级	siêu
潮流	trào lưu
钞票	tiền giấy
潮湿	ẩm ướt
嘲笑	chế nhạo
超越	vượt qua
诧异	ngạc nhiên
沉淀	lắng đọng
橙	cam (màu, quả)
秤	cái cân
承办	đảm nhận tổ chức
城堡	lâu đài
承包	nhận thầu
成本	giá thành, chi phí
惩罚	trừng phạt
称号	danh hiệu
成交	giao dịch thành công
承诺	cam kết, hứa
成天	suốt ngày
乘务员	tiếp viên
呈现	hiện ra
成效	hiệu quả
成心	cố ý
成员	thành viên
诚挚	chân thành
陈旧	cũ kỹ
陈列	trưng bày
沉闷	ngột ngạt, nặng nề
陈述	trình bày
沉思	trầm tư
称心如意	như ý, vừa lòng
沉重	nặng nề
沉着	bình tĩnh
撤退	rút lui
撤销	hủy bỏ
赤道	xích đạo
迟缓	chậm chạp
持久	lâu dài, bền bỉ
吃苦	chịu khổ
吃力	vất vả, tốn sức
池塘	ao
迟疑	do dự
赤字	thâm hụt
崇拜	sùng bái
充当	đóng vai, làm
重叠	chồng chéo
冲动	bốc đồng
崇高	cao cả
冲击	xung kích, tác động mạnh
崇敬	kính trọng
充沛	dồi dào
充实	phong phú, đầy đủ; làm giàu
冲突	xung đột
重阳节	Tết Trùng Dương
充足	đầy đủ
筹备	chuẩn bị
踌躇	do dự
丑恶	xấu xa
抽空	tranh thủ thời gian
稠密	dày đặc
串	xâu, chuỗi
船舶	tàu thuyền
传达	truyền đạt
传单	tờ rơi
床单	ga giường
创立	sáng lập
创新	đổi mới, sáng tạo
创业	khởi nghiệp
创作	sáng tác
川流不息	nườm nượp không dứt
喘气	thở hổn hển
传授	truyền thụ
穿越	xuyên qua
储备	dự trữ
初步	bước đầu
储存	lưu trữ
触犯	xúc phạm, vi phạm
处分	kỷ luật, xử phạt
锤	búa
吹牛	khoác lác
吹捧	tâng bốc
垂直	thẳng đứng
处境	hoàn cảnh
出路	lối thoát
出卖	bán rẻ, phản bội
纯粹	thuần túy
纯洁	trong sáng
出神	thẫn thờ, xuất thần
出身	xuất thân
出息	triển vọng, tiền đồ
储蓄	tiết kiệm (tiền)
出洋相	làm trò cười
处置	xử lý
刺	gai; đâm
伺候	hầu hạ
词汇	từ vựng
次品	hàng kém chất lượng
慈祥	hiền từ
雌雄	đực cái
次序	thứ tự
丛	bụi, cụm
从容不迫	ung dung điềm tĩnh
凑合	tạm được, xoay xở
窜	chạy trốn, lẩn
摧残	tàn phá
脆弱	yếu đuối, mong manh
粗鲁	thô lỗ
搓	xoa, vò
磋商	thương lượng
挫折	thất bại, trắc trở
搭	dựng; đi (xe); bắc
打包	đóng gói
答辩	bảo vệ (luận văn), biện hộ
大不了	cùng lắm
大臣	đại thần, bộ trưởng
达成	đạt được
搭档	cộng sự
答复	trả lời, phúc đáp
打官司	kiện tụng
大伙儿	mọi người
逮捕	bắt giữ
代价	cái giá
代理	đại lý; thay mặt
带领	dẫn dắt
怠慢	tiếp đãi sơ suất
歹徒	kẻ xấu, côn đồ
打击	đả kích, giáng đòn
打架	đánh nhau
打量	nhìn từ đầu đến chân
打猎	đi săn
蛋白质	protein
担保	bảo lãnh
诞辰	ngày sinh
党	đảng
档案	hồ sơ
当场	ngay tại chỗ
当初	lúc đầu
档次	đẳng cấp
当面	trước mặt
当前	hiện nay, trước mắt
当事人	đương sự
当务之急	việc cấp bách nhất
当心	coi chừng
当选	trúng cử
淡季	mùa vắng khách
胆怯	nhút nhát
诞生	ra đời
淡水	nước ngọt
倒闭	phá sản
导弹	tên lửa
稻谷	thóc
导航	dẫn đường
捣乱	quấy rối
盗窃	trộm cắp
导向	định hướng
岛屿	đảo
搭配	phối hợp, kết hợp
大厦	tòa nhà lớn
大肆	ngang nhiên, không kiêng dè
大体	đại thể
大意	đại ý; sơ ý
打仗	đánh trận
大致	đại khái
得不偿失	được không bù mất
得力	đắc lực
瞪	trừng mắt
蹬	đạp
等级	đẳng cấp, cấp bậc
灯笼	đèn lồng
登陆	đổ bộ
登录	đăng nhập
澄清	làm rõ
得天独厚	được trời ưu đãi
得罪	đắc tội
垫	lót, đệm
颠簸	xóc nảy
颠倒	đảo lộn
奠定	đặt nền móng
惦记	nhớ, lo nghĩ về
典礼	lễ, nghi lễ
典型	điển hình
电源	nguồn điện
点缀	tô điểm
吊	treo
叼	ngậm
调动	điều động
雕刻	điêu khắc
雕塑	điêu khắc, tượng
堤坝	đê đập
地步	mức độ, tình cảnh
抵达	đến nơi
跌	ngã; giảm
抵抗	kháng cự
盯	nhìn chằm chằm
定期	định kỳ
定义	định nghĩa
叮嘱	dặn dò kỹ
敌视	thù địch
地势	địa thế
丢人	mất mặt
丢三落四	hay quên
递增	tăng dần
地质	địa chất
抵制	tẩy chay, chống lại
栋	tòa (lượng từ nhà)
动荡	bất ổn, biến động
东道主	chủ nhà (đăng cai)
动机	động cơ
冻结	đóng băng
动静	động tĩnh
动力	động lực
动脉	động mạch
动身	lên đường
董事长	chủ tịch hội đồng quản trị
动手	bắt tay làm; động thủ
动态	động thái
洞穴	hang động
动员	động viên, huy động
东张西望	nhìn ngó lung tung
兜	túi; bọc
陡峭	dốc đứng
斗争	đấu tranh
端	đầu; bưng
短促	ngắn ngủi
断定	kết luận, khẳng định
断断续续	đứt quãng
断绝	cắt đứt
端午节	Tết Đoan Ngọ
端正	ngay ngắn, đúng đắn
赌博	cờ bạc
独裁	độc tài
督促	đôn đốc
对策	đối sách
对称	đối xứng
对付	đối phó
兑换	đổi (tiền)
堆积	chất đống
对抗	đối kháng
对立	đối lập
对联	câu đối
队伍	đội ngũ
兑现	thực hiện (lời hứa); đổi thành tiền
对应	tương ứng
对照	đối chiếu
杜绝	chấm dứt, ngăn chặn triệt để
顿时	lập tức, bỗng
堕落	sa đọa
哆嗦	run rẩy
多元化	đa dạng hóa
毒品	ma túy
堵塞	tắc nghẽn
都市	đô thị
恶化	xấu đi
嗯	ừ, ừm
恩怨	ân oán
耳环	hoa tai
二氧化碳	khí CO2
而已	mà thôi
额外	thêm, ngoài
恶心	buồn nôn; ghê tởm
遏制	kiềm chế
发布	công bố, phát hành
发财	phát tài
发呆	ngẩn người
发动	phát động
发火	nổi giận
发觉	phát hiện, nhận ra
番	lượt, phen
反驳	phản bác
反常	bất thường
范畴	phạm trù
反倒	trái lại
反动	phản động
反感	ác cảm
放大	phóng to
放射	phóng xạ
防守	phòng thủ
放手	buông tay
方位	phương vị
方言	phương ngữ
防疫	phòng dịch
防御	phòng ngự
方针	phương châm
防治	phòng và trị
防止	ngăn ngừa
纺织	dệt may
繁华	phồn hoa
反抗	phản kháng
反馈	phản hồi
泛滥	tràn lan
贩卖	buôn bán
繁忙	bận rộn
反面	mặt trái
反射	phản xạ
反思	suy ngẫm lại
繁体字	chữ phồn thể
反问	hỏi ngược lại
繁殖	sinh sản
反之	ngược lại
法人	pháp nhân
发射	phóng, bắn
发誓	thề
发行	phát hành
发炎	viêm
发扬	phát huy
发育	phát dục, phát triển
诽谤	phỉ báng
废除	bãi bỏ
非法	phi pháp
飞禽走兽	chim muông
沸腾	sôi sục
匪徒	kẻ cướp
肥沃	màu mỡ
飞翔	bay lượn
废墟	phế tích
飞跃	nhảy vọt
分辨	phân biệt
分寸	chừng mực
吩咐	dặn bảo
逢	gặp
风暴	bão tố
封闭	phong tỏa, đóng kín
风度	phong độ
风光	phong cảnh
封建	phong kiến
锋利	sắc bén
丰满	đầy đặn
风气	phong khí, nếp
风趣	dí dỏm
丰盛	thịnh soạn
丰收	được mùa
封锁	phong tỏa
风土人情	phong tục tập quán
风味	hương vị đặc trưng
奉献	cống hiến
分红	chia lãi, cổ tức
分解	phân giải
分量	trọng lượng, sức nặng
分裂	chia rẽ, phân liệt
分泌	tiết ra
分明	rõ ràng
粉末	bột
坟墓	mộ
分歧	bất đồng
分散	phân tán
粉色	màu hồng
分手	chia tay
粉碎	nghiền nát
否决	phủ quyết
副	phó; bộ (lượng từ)
腐败	tham nhũng, thối nát
负担	gánh nặng
幅度	biên độ
夫妇	vợ chồng
覆盖	bao phủ
符号	ký hiệu
附和	phụ họa
复活	hồi sinh
附件	tệp đính kèm; phụ kiện
腐烂	thối rữa
福利	phúc lợi
俘虏	tù binh
福气	phúc, may mắn
服气	tâm phục
夫人	phu nhân
辐射	bức xạ
腐蚀	ăn mòn
附属	trực thuộc
腹泻	tiêu chảy
复兴	phục hưng
腐朽	mục nát
敷衍	qua loa, chiếu lệ
抚养	nuôi dưỡng
俯仰	cúi ngẩng
富裕	giàu có
赋予	ban cho, trao cho
辅助	hỗ trợ
副作用	tác dụng phụ
改良	cải tiến
盖章	đóng dấu
尴尬	lúng túng, khó xử
杠杆	đòn bẩy
港口	cảng
纲领	cương lĩnh
港湾	vịnh cảng
岗位	vị trí công tác
干旱	hạn hán
干劲	sự hăng hái
感慨	cảm khái
感染	nhiễm; lây lan
干扰	can nhiễu, quấy rầy
干涉	can thiệp
甘心	cam lòng
干预	can dự
高潮	cao trào
高超	cao siêu
告辞	cáo từ
高峰	cao điểm, đỉnh
稿件	bản thảo
告诫	răn dạy
高考	thi đại học
高明	cao minh
高尚	cao thượng
高涨	dâng cao
搁	đặt, để
割	cắt
疙瘩	cục, mụn
隔阂	ngăn cách, khoảng cách
格局	cục diện, bố cục
