# hanzi	nghĩa tiếng Việt	pinyin (ghi đè, tuỳ chọn)	nghĩa Anh (ghi đè, tuỳ chọn)
爱	yêu, yêu thích
人	người
认识	quen biết, nhận biết
三	ba
上	trên; lên; đi (học, làm)
商店	cửa hàng
上午	buổi sáng
少	ít
谁	ai
什么	gì, cái gì
十	mười
是	là, phải
时候	lúc, khi, thời gian
书	sách
水	nước
水果	hoa quả, trái cây
睡觉	ngủ
四	bốn
他	anh ấy, ông ấy
她	cô ấy, bà ấy
太	quá, rất
天气	thời tiết
听	nghe
同学	bạn học, bạn cùng lớp
喂	alo; cho ăn
我	tôi, tớ
我们	chúng tôi, chúng ta
五	năm (số 5)
下	dưới; xuống
想	muốn; nghĩ; nhớ
先生	ông, ngài; chồng
现在	bây giờ, hiện tại
小	nhỏ, bé
小姐	cô, tiểu thư
下午	buổi chiều
下雨	mưa
写	viết
些	một số, vài
谢谢	cảm ơn
喜欢	thích
星期	tuần, thứ (trong tuần)
学生	học sinh, sinh viên
学习	học, học tập
学校	trường học
一	một
衣服	quần áo
医生	bác sĩ
医院	bệnh viện
椅子	ghế
有	có
月	tháng; trăng
在	ở, tại; đang
再见	tạm biệt
怎么	thế nào, sao
怎么样	thế nào, ra sao
这	này, đây
中国	Trung Quốc
中午	buổi trưa
住	ở, sống, trọ
桌子	bàn
字	chữ
坐	ngồi; đi (xe, máy bay)
做	làm
昨天	hôm qua
船	thuyền, tàu
公斤	ki-lô-gam
号	ngày (trong tháng); số
欢迎	hoan nghênh, chào mừng
回答	trả lời
男人	đàn ông
女人	phụ nữ, đàn bà	nǚrén	woman
踢	đá (bóng)
为	vì, cho	wèi	for; for the sake of; because of
向	hướng về, về phía
元	đồng (tiền tệ)
张	tờ, tấm (lượng từ); mở
自行车	xe đạp
啊	a, à (thán từ)	a	ah; oh (interjection / sentence-final particle)
矮	thấp, lùn
爱好	sở thích
安静	yên tĩnh
阿姨	dì, cô
把	đem, lấy (giới từ); cái, chiếc (lượng từ)
半	nửa, rưỡi
班	lớp; ca làm; chuyến
搬	chuyển, dọn
办法	cách, biện pháp
帮忙	giúp đỡ
办公室	văn phòng
饱	no
包	túi; bao gồm; bọc
被	bị, được (câu bị động)
北方	phương bắc, miền bắc
变化	thay đổi, biến đổi
表示	bày tỏ, biểu thị
表演	biểu diễn
别人	người khác
比较	so sánh; tương đối, khá
冰箱	tủ lạnh
比赛	thi đấu, cuộc thi
必须	phải, cần phải
鼻子	mũi
才	mới (vừa mới, chỉ mới)
菜单	thực đơn
参加	tham gia
草	cỏ
层	tầng, lớp
差	kém, thiếu; sai
超市	siêu thị
成绩	thành tích, điểm số
城市	thành phố
衬衫	áo sơ mi
迟到	đến muộn
厨房	nhà bếp
除了	ngoài ... ra, trừ
春	mùa xuân
出现	xuất hiện
词语	từ ngữ
聪明	thông minh
带	mang, dẫn; dây, đai
蛋糕	bánh ngọt, bánh kem
当然	đương nhiên, dĩ nhiên
担心	lo lắng
打扫	quét dọn
打算	dự định, định
灯	đèn
地	đất; (trợ từ trạng ngữ)
低	thấp
电梯	thang máy
电子	điện tử
地方	nơi, chỗ, địa phương
地铁	tàu điện ngầm
地图	bản đồ
东	đông, phía đông
冬	mùa đông	dōng	winter
动物	động vật
段	đoạn
短	ngắn
锻炼	rèn luyện, tập thể dục
多么	biết bao, làm sao
饿	đói
耳朵	tai
而且	hơn nữa, mà còn
放	đặt, để; thả
方便	tiện, thuận tiện
放心	yên tâm
发烧	sốt
发现	phát hiện
分	phút; điểm; chia
附近	gần đây, lân cận
复习	ôn tập
敢	dám
刚才	vừa nãy, vừa rồi
干净	sạch sẽ
感冒	cảm, cảm cúm
跟	với, cùng; theo
更	càng, hơn
根据	căn cứ, theo
公园	công viên
刮	thổi (gió); cạo
关	đóng; tắt
关系	quan hệ
关心	quan tâm
关于	về, liên quan đến
国家	quốc gia, đất nước
过去	quá khứ; đi qua
果汁	nước ép hoa quả
故事	câu chuyện
害怕	sợ hãi
还是	vẫn; hay là
河	sông
黑板	bảng đen
画	vẽ; bức tranh
花	hoa; tiêu (tiền)
坏	hỏng, xấu
换	đổi, thay
黄	vàng (màu)
环境	môi trường
花园	vườn hoa
会议	hội nghị, cuộc họp
或者	hoặc, hoặc là
护照	hộ chiếu
极	cực kỳ, vô cùng
检查	kiểm tra
简单	đơn giản
讲	nói, giảng, kể
健康	sức khỏe; khỏe mạnh
见面	gặp mặt
教	dạy	jiāo	to teach
角	hào (tiền); góc; sừng
脚	bàn chân, chân
记得	nhớ, còn nhớ
借	mượn, cho mượn
接	đón; nhận; nối
街道	đường phố
结婚	kết hôn
解决	giải quyết
节目	tiết mục, chương trình
节日	ngày lễ, ngày tết
结束	kết thúc
几乎	hầu như, gần như
机会	cơ hội
季节	mùa
经常	thường xuyên
经过	đi qua, trải qua; quá trình
经理	giám đốc, quản lý
旧	cũ
久	lâu
决定	quyết định
举行	tổ chức, tiến hành
句子	câu
刻	khắc (15 phút); khắc, chạm
渴	khát
可爱	đáng yêu, dễ thương
客人	khách
空调	điều hòa, máy lạnh
口	miệng; khẩu (lượng từ người)
哭	khóc
筷子	đũa
裤子	quần
蓝	xanh lam, xanh dương
老	già; cũ; lão
脸	mặt, khuôn mặt
辆	chiếc (lượng từ xe)
练习	luyện tập, bài tập
了解	hiểu, hiểu rõ, tìm hiểu
离开	rời khỏi, rời đi
邻居	hàng xóm
历史	lịch sử
礼物	quà, món quà
楼	tầng, lầu; tòa nhà
绿	xanh lá, xanh lục
马	ngựa
满意	hài lòng
帽子	mũ, nón
马上	ngay lập tức
米	mét; gạo
面包	bánh mì
明白	hiểu, rõ ràng
拿	cầm, lấy
奶奶	bà nội
南	nam, phía nam
难	khó
难过	buồn, khó chịu
年级	khối, lớp (năm học)
年轻	trẻ, trẻ tuổi
鸟	chim
努力	cố gắng, nỗ lực
胖	béo, mập
盘子	đĩa
爬山	leo núi
啤酒	bia
葡萄	nho
普通话	tiếng phổ thông (Trung Quốc)
骑	cưỡi, đi (xe đạp, xe máy)
奇怪	kỳ lạ, lạ
清楚	rõ ràng, rõ
其实	thực ra, kỳ thực
其他	khác, cái khác
秋	mùa thu
裙子	váy
然后	sau đó, rồi
认为	cho rằng, nghĩ rằng
认真	nghiêm túc, chăm chỉ
热情	nhiệt tình
容易	dễ, dễ dàng
如果	nếu
伞	ô, dù
上网	lên mạng
生气	tức giận
声音	âm thanh, tiếng
使	khiến, làm cho
世界	thế giới
瘦	gầy
树	cây
刷	đánh (răng), chải, quẹt (thẻ)
双	đôi (lượng từ)
舒服	thoải mái, dễ chịu
水平	trình độ
叔叔	chú
数学	toán học
司机	tài xế, lái xe
太阳	mặt trời
糖	đường; kẹo
特别	đặc biệt
疼	đau
甜	ngọt
条	con, chiếc, cái (lượng từ vật dài)
提高	nâng cao
体育	thể thao, thể dục
同事	đồng nghiệp
同意	đồng ý
头发	tóc
腿	chân, đùi	tuǐ	leg
突然	đột nhiên, bỗng nhiên
图书馆	thư viện
万	vạn, mười nghìn
碗	bát, chén
完成	hoàn thành
忘记	quên
位	vị (lượng từ người, kính trọng)
为了	vì, để
文化	văn hóa
西	tây, phía tây	xī	west
夏	mùa hè	xià	summer
先	trước, trước tiên
像	giống; như
香蕉	chuối
相同	giống nhau
相信	tin, tin tưởng
小心	cẩn thận
校长	hiệu trưởng
鞋	giày
习惯	thói quen; quen
信	thư; tin
行李箱	va li
兴趣	hứng thú, sở thích
新闻	tin tức
新鲜	tươi, mới mẻ
熊猫	gấu trúc
洗手间	nhà vệ sinh
洗澡	tắm
选择	lựa chọn
需要	cần
眼镜	kính mắt
要求	yêu cầu
爷爷	ông nội
一般	bình thường; nói chung
一边	vừa ... vừa; một bên
一定	nhất định
一共	tổng cộng
以后	sau này, về sau
一会儿	một lát, một lúc
应该	nên, phải
影响	ảnh hưởng
银行	ngân hàng
音乐	âm nhạc
以前	trước đây
以为	tưởng rằng, cho rằng
一样	giống nhau, như nhau
一直	luôn luôn, liên tục; thẳng
用	dùng, sử dụng
又	lại, vừa ... vừa
有名	nổi tiếng
游戏	trò chơi
愿意	sẵn lòng, bằng lòng
遇到	gặp, gặp phải
越	càng
月亮	mặt trăng
云	mây
站	đứng; trạm, bến
照顾	chăm sóc
着急	sốt ruột, lo lắng
照片	ảnh, bức ảnh
照相机	máy ảnh
只	chỉ; con (lượng từ)
种	loại, thứ; trồng
中间	ở giữa
重要	quan trọng
终于	cuối cùng
周末	cuối tuần
祝	chúc
主要	chủ yếu
注意	chú ý
字典	từ điển chữ
自己	tự mình, bản thân
总是	luôn luôn
最近	gần đây
作业	bài tập
作用	tác dụng
爱情	tình yêu
暗	tối, tối tăm
安排	sắp xếp
安全	an toàn
按时	đúng giờ
按照	theo, căn cứ theo
抱	ôm, bế
报道	đưa tin, bài báo
保护	bảo vệ
包括	bao gồm
报名	đăng ký, ghi danh
抱歉	xin lỗi, áy náy
保证	bảo đảm, cam đoan
倍	lần, gấp
笨	ngốc, đần
本来	vốn dĩ, ban đầu
遍	lượt, lần
表达	biểu đạt, diễn đạt
表格	biểu mẫu, bảng
表扬	khen ngợi
标准	tiêu chuẩn
笔记本	sổ tay; máy tính xách tay
饼干	bánh quy
并且	đồng thời, hơn nữa
毕业	tốt nghiệp
博士	tiến sĩ
不但	không những
不得不	buộc phải, không thể không
部分	bộ phận, phần
不管	bất kể, mặc dù
不过	nhưng, có điều
不仅	không chỉ
擦	lau, chùi
猜	đoán
材料	tài liệu, vật liệu
参观	tham quan
差不多	gần như, xấp xỉ
尝	nếm
场	trận, buổi (lượng từ); sân, bãi
长城	Vạn Lý Trường Thành
长江	sông Trường Giang
吵	ồn ào; cãi nhau
超过	vượt quá
成功	thành công
诚实	thành thật, trung thực
成熟	chín; trưởng thành
成为	trở thành
乘坐	đi, ngồi (phương tiện)
吃惊	kinh ngạc, giật mình
重新	lại, làm lại từ đầu
抽烟	hút thuốc
窗户	cửa sổ
传真	fax
出差	đi công tác
出发	xuất phát
出生	sinh ra, ra đời
词典	từ điển
从来	từ trước đến nay
粗心	bất cẩn, cẩu thả
答案	đáp án
打扮	trang điểm, ăn diện
大概	đại khái, có lẽ
戴	đeo, đội
代表	đại biểu, đại diện
大夫	bác sĩ
代替	thay thế
当	làm, đảm nhiệm; khi
当地	địa phương, tại chỗ
当时	lúc đó, khi đó
刀	dao
到处	khắp nơi
到底	rốt cuộc, cuối cùng
道歉	xin lỗi
导游	hướng dẫn viên du lịch
打扰	làm phiền
大使馆	đại sứ quán
打印	in (máy in)
大约	khoảng, đại khái
打折	giảm giá
打针	tiêm
得意	đắc ý
底	đáy, cuối
掉	rơi, mất
调查	điều tra
地球	trái đất
丢	mất, đánh mất; vứt
地址	địa chỉ
动作	động tác
断	đứt, gãy; cắt đứt
堵车	tắc đường, kẹt xe
对话	đối thoại
对面	đối diện
顿	bữa (lượng từ)
朵	đóa, bông (lượng từ hoa)
肚子	bụng
而	mà, và
儿童	trẻ em, nhi đồng
发	gửi, phát
法律	pháp luật
反对	phản đối
方法	phương pháp
方面	phương diện, mặt
放弃	từ bỏ
放暑假	nghỉ hè
访问	thăm, phỏng vấn, truy cập
方向	phương hướng
烦恼	phiền não, buồn phiền
范围	phạm vi
翻译	dịch, phiên dịch
反映	phản ánh
发生	xảy ra, phát sinh
发展	phát triển
份	phần, bản (lượng từ)
丰富	phong phú
风景	phong cảnh
分之	phần (phân số)
否则	nếu không thì
富	giàu
符合	phù hợp
父亲	cha, phụ thân
复印	photocopy
复杂	phức tạp
负责	phụ trách, chịu trách nhiệm
改变	thay đổi
干	làm
干杯	cạn ly
感动	cảm động
刚刚	vừa mới
感觉	cảm giác, cảm thấy
感情	tình cảm
感谢	cảm ơn, cảm tạ
干燥	khô, khô ráo
高级	cao cấp
各	mỗi, các
个子	vóc dáng, chiều cao
工具	công cụ, dụng cụ
公里	ki-lô-mét
共同	chung, cùng nhau
工资	tiền lương
够	đủ
购物	mua sắm
挂	treo; cúp máy
逛	đi dạo
光	ánh sáng; hết sạch; chỉ
广播	phát thanh
广告	quảng cáo
关键	then chốt, mấu chốt
管理	quản lý
观众	khán giả
孤单	cô đơn
规定	quy định
估计	ước tính, đoán chừng
顾客	khách hàng
鼓励	khích lệ, cổ vũ
过程	quá trình
国际	quốc tế
果然	quả nhiên
故意	cố ý
鼓掌	vỗ tay
害羞	xấu hổ, ngại ngùng
海洋	đại dương
汗	mồ hôi
航班	chuyến bay
寒假	nghỉ đông
好处	lợi ích, điểm tốt
号码	số, mã số
好像	hình như, giống như
合格	đạt tiêu chuẩn
合适	phù hợp, thích hợp
盒子	hộp
厚	dày
后悔	hối hận
后来	sau đó, về sau
猴子	con khỉ
怀疑	nghi ngờ
回忆	hồi ức, nhớ lại
火	lửa
获得	đạt được, giành được
活动	hoạt động
活泼	hoạt bát
忽然	bỗng nhiên
护士	y tá
互相	lẫn nhau
寄	gửi (thư, bưu phẩm)
假	giả
加班	tăng ca, làm thêm giờ
价格	giá cả
家具	đồ nội thất
坚持	kiên trì
减肥	giảm cân
降低	giảm, hạ thấp
奖金	tiền thưởng
将来	tương lai
减少	giảm bớt
交	nộp; giao; kết (bạn)
骄傲	kiêu ngạo; tự hào
交流	giao lưu, trao đổi
教授	giáo sư
交通	giao thông
教育	giáo dục
饺子	sủi cảo
加油站	trạm xăng
基础	cơ sở, nền tảng
激动	xúc động, kích động
结果	kết quả
解释	giải thích
接受	tiếp nhận, chấp nhận
节约	tiết kiệm
集合	tập hợp
计划	kế hoạch
积极	tích cực
积累	tích lũy
精彩	đặc sắc, hay
警察	cảnh sát
经济	kinh tế
京剧	Kinh kịch
经历	trải qua; trải nghiệm
竟然	lại, không ngờ
精神	tinh thần
尽管	mặc dù; cứ việc
经验	kinh nghiệm
竞争	cạnh tranh
镜子	gương
进行	tiến hành
紧张	căng thẳng, hồi hộp
禁止	cấm
极其	cực kỳ
既然	đã ... thì
及时	kịp thời
即使	cho dù, dù cho
技术	kỹ thuật
究竟	rốt cuộc
继续	tiếp tục
记者	phóng viên, nhà báo
举办	tổ chức
拒绝	từ chối
距离	khoảng cách
开玩笑	nói đùa
看法	cách nhìn, quan điểm
考虑	cân nhắc, suy nghĩ
棵	cây (lượng từ cây cối)
可怜	đáng thương
肯定	khẳng định; chắc chắn
可是	nhưng
咳嗽	ho
可惜	đáng tiếc
科学	khoa học
