# chữ	âm Hán Việt	nghĩa
织	chức	dệt
毫	hào	tí; lông
寺	tự	chùa
庙	miếu	miếu
私	tư	riêng
碎	toái	vụn
损	tổn	tổn hại
锁	tỏa	khóa
缩	súc	co
谓	vị	gọi là
宿	túc	ở trọ
塔	tháp	tháp
拳	quyền	nắm đấm
烫	năng	bỏng
坦	thản	thẳng thắn
逃	đào	trốn
桃	đào	đào
殊	thù	đặc thù
征	chinh	trưng cầu; đặc trưng
田	điền	ruộng
野	dã	đồng hoang
挑	khiêu	chọn
战	chiến	chiến
倡	xướng	đề xướng
纲	cương	cương lĩnh
贴	thiếp	dán
铜	đồng	đồng
痛	thống	đau
讯	tấn	tin tức
治	trị	trị
透	thấu	thấu
投	đầu	ném; đầu tư
吐	thổ	nhổ; nôn
团	đoàn	đoàn
土	thổ	đất
退	thoái	lùi
荐	tiến	tiến cử
兔	thố	thỏ
歪	oai	lệch
返	phản	trở về
王	vương	vua
胃	vị	dạ dày
尾	vĩ	đuôi
巴	ba	(hậu tố)
未	vị	chưa
伟	vĩ	vĩ đại
违	vi	vi phạm
维	duy	duy trì
委	ủy	ủy thác
屈	khuất	khuất
卫	vệ	vệ
威	uy	uy
胁	hiếp	đe dọa
唯	duy	duy nhất
置	trí	đặt
吻	vẫn	hôn
稳	ổn	ổn định
柔	nhu	mềm
卧	ngọa	nằm
雾	vụ	sương mù
奈	nại	làm sao
武	võ	võ
屋	ốc	nhà
瞎	hạt	mù
县	huyện	huyện
项	hạng	hạng mục
链	liên	xích
橡	tượng	cao su
棋	kỳ	cờ
享	hưởng	hưởng
艳	diễm	tươi đẹp
灭	diệt	diệt
销	tiêu	tiêu thụ
孝	hiếu	hiếu
偷	thâu	trộm
载	tải	chở
斜	tà	nghiêng
歇	yết	nghỉ
协	hiệp	hiệp
封	phong	phong; bức
形	hình	hình
状	trạng	trạng
欣	hân	vui
赏	thưởng	thưởng thức
胸	hung	ngực
兄	huynh	anh
雄	hùng	hùng
宣	tuyên	tuyên
迅	tấn	nhanh
询	tuân	hỏi
寻	tầm	tìm
叙	tự	kể
述	thuật	thuật
延	diên	kéo dài
痒	dưỡng	ngứa
宴	yến	tiệc
肃	túc	nghiêm
摇	dao	lắc
咬	giảo	cắn
腰	yêu	eo
夜	dạ	đêm
液	dịch	chất lỏng
乙	ất	ất
辈	bối	thế hệ
旦	đán	sáng sớm
移	di	di chuyển
遗	di	để lại
憾	hám	tiếc
英	anh	anh
俊	tuấn	tuấn tú
依	y	dựa
义	nghĩa	nghĩa
拥	ủng	ôm; ủng hộ
挤	tễ	chen
幼	ấu	nhỏ
惠	huệ	ưu đãi
悠	du	thong thả
邮	bưu	bưu
局	cục	cục
犹	do	còn
豫	dự	do dự
炸	tạc	nổ; rán
缘	duyên	duyên
订	đính	đặt
防	phòng	phòng
娱	ngu	giải trí
玉	ngọc	ngọc
晕	vựng	chóng mặt
宇	vũ	vũ trụ
宙	trụ	vũ trụ
灾	tai	tai họa
糟	tao	tệ
摘	trích	hái
涨	trướng	tăng
粘	niêm	dính
占	chiếm	chiếm
线	tuyến	đường, dây
召	triệu	triệu tập
阵	trận	trận
振	chấn	chấn
诊	chẩn	chẩn
睁	tranh	mở (mắt)
政	chính	chính trị
策	sách	sách lược
府	phủ	phủ
挣	tránh	kiếm
枕	chẩm	gối
珍	trân	quý
哲	triết	triết
智	trí	trí
慧	tuệ	tuệ
疗	liệu	trị liệu
执	chấp	chấp
秩	trật	trật tự
旬	tuần	tuần (10 ngày)
煮	chử	luộc
抓	trảo	bắt
转	chuyển	chuyển
饰	sức	trang sức
嘱	chúc	dặn
咐	phó	dặn
追	truy	đuổi
竹	trúc	tre
紫	tử	tím
姿	tư	tư thế
咨	tư	hỏi
裁	tài	cắt; phán
综	tổng	tổng hợp
宗	tông	tông
祖	tổ	tổ
醉	túy	say
罪	tội	tội
犯	phạm	phạm
遵	tuân	tuân
守	thủ	giữ
阻	trở	cản
呵	a	(thán từ)
挨	ai	chịu; sát
暧	ái	mờ ám
昧	muội	mờ
哎	ai	ôi
哟	yêu	ôi
癌	nham	ung thư
症	chứng	bệnh
昂	ngang	cao
熬	ngao	ninh; chịu đựng
奥	áo	sâu xa
凹	ao	lõm
凸	đột	lồi
扒	bát	cạy; bới
疤	ba	sẹo
霸	bá	bá
罢	bãi	thôi
掰	bài	bẻ
拔	bạt	nhổ
颁	ban	ban hành
磅	bảng	pound
绑	bảng	trói
榜	bảng	bảng
侣	lữ	bạn đời
斑	ban	vết
纹	văn	vân
庇	tí	che chở
酬	thù	thù lao
仇	cừu	thù
爆	bạo	nổ
袱	phục	bọc
曝	bộc	phơi bày
沧	thương	xanh biếc
桑	tang	dâu
暴	bạo	bạo
姆	mụ	vú em
怨	oán	oán
障	chướng	chướng ngại
哀	ai	bi ai
卑	ti	thấp hèn
鄙	bỉ	hèn
惨	thảm	thảm
壳	xác	vỏ
叛	bạn	phản bội
诵	tụng	đọc
奔	bôn	chạy
波	ba	sóng
驰	trì	phi (ngựa)
甭	bang	không cần
蹦	bựng	nhảy
迸	bính	bắn ra
崩	băng	sụp
溃	hội	vỡ
拙	chuyết	vụng
臂	tí	cánh tay
贬	biếm	hạ thấp
疆	cương	biên giới
迁	thiên	dời
辨	biện	phân biệt
辫	biện	bím tóc
飙	tiêu	bão; vọt
彰	chương	rõ rệt
弊	tệ	tệ nạn
端	đoan	đầu; đoan
憋	biệt	nhịn
扭	nữu	vặn
墅	thự	biệt thự
雹	bạc	mưa đá
濒	tần	bên bờ
逼	bức	ép
塞	tắc	nhét; tắc
涕	thế	nước mũi
碧	bích	xanh biếc
喻	dụ	ví
拨	bát	gạt; cấp
搏	bác	vật lộn
伯	bá	bác
涛	đào	sóng lớn
汹	hung	cuồn cuộn
涌	dũng	trào
剥	bác	bóc
削	tước	gọt
伐	phạt	chặt; đánh
堪	kham	chịu được
哺	bộ	cho bú
乳	nhũ	sữa
署	thự	ký; sở
屑	tiết	vụn
捕	bộ	bắt
捉	tróc	bắt
缝	phùng	khâu; khe
纳	nạp	nộp; nhận
舱	thương	khoang
苍	thương	xanh xám
仓	thương	kho
酷	khốc	tàn khốc; ngầu
灿	xán	rực rỡ
谋	mưu	mưu
嘈	tào	ồn
纵	túng	dọc; buông
侧	trắc	bên
岔	xá	rẽ
馋	sàm	thèm
搀	sam	đỡ; pha
刹	sát	phanh; chốc
颤	chiến	run
敞	sưởng	mở rộng
猖	xương	ngông cuồng
昌	xương	thịnh
盛	thịnh	thịnh
畅	sướng	thông suốt
缠	triền	quấn
阐	xiển	trình bày
潮	triều	thủy triều; ẩm
钞	sao	tiền giấy
嘲	trào	chế nhạo
诧	sá	ngạc nhiên
异	dị	khác
淀	điến	lắng
橙	chanh	cam
秤	xứng	cân
堡	bảo	pháo đài
惩	trừng	trừng phạt
诺	nặc	hứa
澄	trừng	trong
呈	trình	trình
挚	chí	chân thành
陈	trần	bày; cũ
闷	muộn	buồn bực
撤	triệt	rút
赤	xích	đỏ
塘	đường	ao
崇	sùng	sùng
叠	điệp	xếp chồng
沛	bái	dồi dào
筹	trù	trù bị
踌	trù	do dự
躇	trừ	do dự
稠	trù	đặc
串	xuyến	xâu
舶	bạc	tàu
幢	tràng	tòa (nhà)
川	xuyên	sông
喘	suyễn	thở
储	trữ	dự trữ
锤	chùy	búa
捧	phủng	bưng
垂	thùy	rủ
粹	túy	tinh túy
洁	khiết	sạch
蓄	súc	tích trữ
伺	tứ	hầu
慈	từ	hiền từ
祥	tường	lành
雌	thư	cái (giống)
丛	tùng	bụi
凑	thấu	gom
攒	toản	tích cóp
窜	thoán	chạy trốn
摧	tồi	phá hủy
鲁	lỗ	thô lỗ
搓	tha	xoa
磋	tha	bàn bạc
挫	tỏa	thất bại
搭	đáp	đặt; đi (xe)
臣	thần	bề tôi
逮	đãi	bắt
怠	đãi	lười
歹	đãi	xấu
徒	đồ	đồ đệ
猎	liệp	săn
诞	đản	sinh
辰	thần	giờ
党	đảng	đảng
怯	khiếp	nhát
稻	đạo	lúa
谷	cốc	thung lũng; ngũ cốc
捣	đảo	giã
盗	đạo	trộm
窃	thiết	trộm
屿	dữ	đảo nhỏ
厦	hạ	tòa nhà
肆	tứ	phóng túng
仗	trượng	đánh trận
瞪	trừng	trừng mắt
蹬	đăng	đạp
笼	lung	lồng
垫	điếm	đệm
颠	điên	đảo lộn
簸	bá	xóc
奠	điện	đặt nền
惦	điếm	nhớ
缀	chuế	nối
吊	điếu	treo
叼	điêu	ngậm
雕	điêu	khắc
堤	đê	đê
坝	bá	đập
抵	để	chống; đến
跌	điệt	ngã; giảm
盯	đinh	nhìn chằm
叮	đinh	dặn; đốt
栋	đống	tòa
荡	đãng	đung đưa
脉	mạch	mạch
董	đổng	giám đốc
穴	huyệt	huyệt
兜	đâu	túi
陡	đẩu	dốc
峭	tiễu	dốc đứng
赌	đổ	cờ bạc
督	đốc	giám sát
兑	đoái	đổi
伍	ngũ	đội ngũ
杜	đỗ	ngăn
堕	đọa	sa ngã
哆	đa	run
嗦	sách	run
哦	nga	ồ
嗯	ân	ừ
恩	ân	ơn
氧	dưỡng	ô-xy
碳	thán	các-bon
额	ngạch	trán; số lượng
遏	át	ngăn
驳	bác	bác bỏ
畴	trù	phạm trù
疫	dịch	dịch bệnh
御	ngự	phòng ngự
纺	phưởng	dệt
馈	quỹ	phản hồi
滥	lạm	lạm
贩	phiến	buôn
殖	thực	sinh sôi
誓	thệ	thề
炎	viêm	viêm
诽	phỉ	phỉ báng
谤	báng	phỉ báng
禽	cầm	chim
兽	thú	thú
沸	phí	sôi
腾	đằng	bay lên
匪	phỉ	phỉ
沃	ốc	màu mỡ
翔	tường	bay lượn
墟	khư	phế tích
寸	thốn	tấc
吩	phân	dặn
逢	phùng	gặp
锋	phong	mũi nhọn
奉	phụng	phụng
裂	liệt	nứt
泌	bí	tiết ra
粉	phấn	bột
坟	phần	mộ
墓	mộ	mộ
歧	kỳ	phân nhánh
副	phó	phó; bộ
覆	phúc	che; lật
俘	phu	bắt giữ
虏	lỗ	tù binh
辐	bức	bức xạ
蚀	thực	ăn mòn
腹	phúc	bụng
泻	tả	tiêu chảy
朽	hủ	mục
敷	phu	đắp
衍	diễn	qua loa
抚	phủ	vỗ về
俯	phủ	cúi
仰	ngưỡng	ngẩng
裕	dụ	dư dả
赋	phú	ban cho
予	dữ	cho
扛	giang	vác
尴	giam	lúng túng
尬	giới	lúng túng
杠	giang	đòn
杆	can	cột, cần
港	cảng	cảng
湾	loan	vịnh
岗	cương	vị trí
旱	hạn	hạn
慨	khái	khảng khái
涉	thiệp	liên quan
甘	cam	ngọt; cam
峰	phong	đỉnh
稿	cảo	bản thảo
诫	giới	răn
割	cát	cắt
搁	các	đặt
疙	ngật	cục
瘩	đáp	cục
阂	ngại	ngăn cách
耕	canh	cày
蒂	đế	cuống
踪	tung	dấu vết
抒	trữ	bày tỏ
颂	tụng	ca tụng
宫	cung	cung
殿	điện	điện
巩	củng	củng cố
攻	công	tấn công
恭	cung	cung kính
鸣	minh	kêu
婆	bà	bà
勾	câu	móc
钩	câu	móc
杖	trượng	gậy
贯	quán	xuyên suốt
灌	quán	tưới
溉	khái	tưới
辉	huy	rực rỡ
阔	khoát	rộng
芒	mang	tia sáng
辖	hạt	quản hạt
辜	cô	tội
跪	quỵ	quỳ
轨	quỹ	đường ray
归	quy	về
棍	côn	gậy
渡	độ	qua (sông)
滤	lự	lọc
瘾	ẩn	nghiện
嗨	hải	chào
滨	tân	bờ
罕	hãn	hiếm
捍	hãn	bảo vệ
暄	huyên	hỏi han
耗	hao	hao tổn
迈	mại	bước
蔼	ải	hiền hòa
嘿	hắc	này
睦	mục	hòa thuận
哼	hanh	hừ
痕	ngân	vết
狠	ngoan	hung dữ
谐	hài	hài hòa
哄	hống	dỗ
烘	hồng	hơ
轰	oanh	ầm
宏	hoành	to lớn
洪	hồng	lũ
吼	hống	gầm
忧	ưu	lo
喉	hầu	họng
咙	lung	họng
瓣	biện	cánh (hoa)
孕	dựng	mang thai
昏	hôn	hôn mê; tối
荒	hoang	hoang
谬	mậu	sai lầm
恍	hoảng	chợt
悟	ngộ	ngộ
唐	đường	Đường
患	hoạn	mắc (bệnh)
侨	kiều	kiều bào
添	thiêm	thêm
筒	đồng	ống
妆	trang	trang điểm
煌	hoàng	rực rỡ
霍	hoắc	bỗng
贿	hối	hối lộ
赂	lộ	hối lộ
毁	hủy	hủy
晤	ngộ	gặp
混	hỗn	trộn
浑	hồn	đục
淆	hào	lẫn lộn
浊	trọc	đục
箭	tiễn	mũi tên
焰	diễm	ngọn lửa
湖	hồ	hồ
泊	bạc	đỗ; hồ
啸	khiếu	gào
吁	dụ	kêu gọi
溅	tiễn	bắn tung
拣	giản	chọn
鉴	giám	soi xét
谍	điệp	gián điệp
监	giám	giám sát
桨	tưởng	mái chèo
僵	cương	cứng đờ
陋	lậu	thô sơ
韧	nhận	dẻo dai
踏	đạp	giẫm
舰	hạm	tàu chiến
艇	đĩnh	thuyền
狱	ngục	ngục
兼	kiêm	kiêm
搅	giảo	khuấy
拌	bạn	trộn
焦	tiêu	cháy; lo
缴	chước	nộp
娇	kiều	yểu điệu
佳	giai	tốt đẹp
肴	hào	món ăn
晓	hiểu	biết; sáng
嫉	tật	ghen
妒	đố	ghen
皆	giai	đều
饥	cơ	đói
杰	kiệt	kiệt xuất
揭	yết	vạch trần
晶	tinh	tinh thể
竭	kiệt	cạn kiệt
剖	phẫu	mổ
截	tiệt	cắt
奏	tấu	tấu
忌	kỵ	kiêng
讳	húy	kiêng
井	tỉnh	giếng
茎	hành	thân cây
兢	căng	cẩn trọng
惕	dịch	cảnh giác
纬	vĩ	vĩ tuyến
讶	nhạ	ngạc nhiên
颈	cảnh	cổ
椎	chùy	đốt sống
津	tân	bến; hứng thú
浸	tẩm	ngâm
泡	bào	ngâm; bọt
晋	tấn	thăng
锦	cẩm	gấm
绣	tú	thêu
纠	củ	sửa; rối
吉	cát	tốt lành
讥	cơ	chế giễu
械	giới	máy móc
躁	táo	nóng nảy
鞠	cúc	cúi
躬	cung	cúi mình
咀	thư	nhai
嚼	tước	nhai
拘	câu	câu nệ
沮	tự	nản
丧	táng	mất
瞩	chúc	chú mục
朗	lãng	sáng
辟	tích	mở mang
拓	thác	mở rộng
刊	san	tạp chí
慷	khảng	hào phóng
勘	khám	khảo sát
探	thám	thăm dò
拢	lũng	gom
磕	khái	đập
啃	khẳng	gặm
坑	khanh	hố
孔	khổng	lỗ
惧	cụ	sợ
隙	khích	khe
腔	khoang	khoang
挎	khóa	đeo
跨	khóa	bước qua
筐	khuông	sọt
框	khuông	khung
旷	khoáng	trống trải
枯	khô	khô héo
捆	khổn	bó
昆	côn	côn trùng
虫	trùng	sâu
啦	lạp	(trợ từ)
喇	lạt	(kèn)
叭	bá	(kèn)
惰	nọa	lười
狈	bái	lúng túng
栏	lan	lan can
捞	lao	vớt
唠	lao	lải nhải
叨	đao	lải nhải
牢	lao	chắc; ngục
骚	tao	quấy rối
愣	lăng	ngẩn
晾	lượng	phơi
廉	liêm	liêm khiết; rẻ
络	lạc	mạng lưới
盟	minh	liên minh
辽	liêu	xa xôi
睬	thải	để ý
碑	bi	bia
黎	lê	bình minh
淋	lâm	dội
凌	lăng	lăng
晨	thần	sáng sớm
魂	hồn	hồn
伶	linh	lanh lợi
俐	lợi	lanh lợi
袖	tụ	tay áo
吝	lận	keo kiệt
啬	sắc	keo kiệt
溜	lưu	chuồn
氓	manh	lưu manh
壮	tráng	khỏe
垄	lũng	lũng đoạn
聋	lung	điếc
哑	á	câm
罩	tráo	chụp
隆	long	long trọng
搂	lâu	ôm
掠	lược	cướp
夺	đoạt	đoạt
屡	lũ	nhiều lần
廓	khuếch	đường nét
胎	thai	thai; lốp
坛	đàn	đàn
螺	loa	ốc
钉	đinh	đinh
啰	la	lải nhải
唆	toa	xúi
绎	dịch	diễn dịch
履	lý	giày; thực hiện
炉	lô	lò
灶	táo	bếp
嘛	ma	(trợ từ)
痹	tí	tê liệt
埋	mai	chôn
伏	phục	nấp
葬	táng	chôn
碌	lục	bận rộn
茫	mang	mênh mông
盲	manh	mù
蔓	mạn	lan
茂	mậu	tươi tốt
枚	mai	cái, chiếc
媒	môi	môi giới
辙	triệt	vết bánh xe
蒙	mông	che; lừa
猛	mãnh	mạnh
萌	manh	nảy mầm
芽	nha	mầm
眯	mi	nheo
勉	miễn	cố gắng
绘	hội	vẽ
渺	miểu	nhỏ bé
弥	di	bù đắp
蔑	miệt	khinh
亡	vong	mất
惑	hoặc	mê hoặc
捷	tiệp	nhanh
膜	mô	màng
魔	ma	ma
磨	ma	mài
莫	mạc	đừng
抹	mạt	xoa
墨	mặc	mực
索	sách	tìm; dây
睹	đổ	thấy
沐	mộc	tắm gội
浴	dục	tắm
涵	hàm	hàm chứa
拟	nghĩ	dự thảo
捏	niết	nặn
拧	ninh	vặn
凝	ngưng	ngưng
纽	nữu	nút
扣	khấu	cài; trừ
虐	ngược	ngược đãi
奴	nô	nô
隶	lệ	nô lệ
挪	na	dời
